image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
C0010,"5,280,000",␣,"4,710,000","32,820,000",지휘,현대 투싼,✔,14.3,43150000,꾀꼬리의 우는,하다 대지하여,✔,57.0,✘,∅,"2,830,000",✘,✘,✘,✘,␣,연휴,✘,␣,✘,✔,23,25,83130000,✔,␣,␣,✘,"6,550,000",9323099136,LARYIK1,␣,24,␣,33.6,✘,✘,␣,심하게,␣,✘,캐스퍼 3 시리즈,"81,650,000","13,570,000",✔,✘,14740000,✘,␣,✘
C0011,␣,"23,130,000","98,990,000",␣,␣,콜로라도 A6,✘,60.7,5990000,관직이나 직업.,돼지의 오줌통.,✘,␣,✘,∅,␣,✘,✘,✘,✔,13,이르는,✘,"79,680,000",✘,✔,␣,35,"65,910,000",✘,␣,␣,✘,9250000,1784360073,LS4H0LC,38.6,15,"17,390,000",68.4,✔,✘,␣,사자탈을,␣,✔,A4 SM3,5710000,89970000,✘,✘,"31,750,000",✘,20,✘
C0012,"5,610,000",␣,"4,690,000",␣,모양. 195722,i4 Q8,✔,25.5,"46,750,000",␣,나가는,✘,54.4,✔,∅,"8,280,000",✔,✘,✔,✘,␣,대역무도한 짓이오.,✔,"14,940,000",✘,✘,20,␣,"95,210,000",✔,그,␣,✔,␣,9716765206,LD4HVOE,94.7,28,8520000,8.6,✔,✘,␣,"강물,",␣,✘,␣,"6,940,000",␣,✘,✘,␣,✘,8,✘
D0000,15830000,"9,980,000","37,640,000","2,910,000",다 아프다.,␣,✘,␣,␣,"97,880,000",70.9,✘,␣,✘,∅,"74,450,000",✘,✘,✔,✘,20,쑥더리공론,✔,␣,✘,✘,16,␣,"2,140,000",✘,각 면에,41.4,✘,"8,680,000",1818045809,L6OIZZN,74.4,␣,"3,570,000",61.3,✘,✘,겨우 돌아가게,완성하였다.,␣,✔,␣,17280000,"6,650,000",✔,✘,"4,870,000",✘,␣,✔
D0001,"67,750,000","69,910,000",8580000,"5,270,000",작품에 소설,기읍,✔,46.6,"2,880,000","24,290,000",67.4,✔,␣,✘,∅,"7,550,000",✘,✔,✔,✔,23,␣,✘,␣,✘,✘,28,22,␣,✘,나는,91.3,✘,"1,880,000",1995284599,LICBG02,57.8,30,"75,180,000",62.9,✘,✘,아프면서 두드러져,부근에,11,✘,파나메라 SM5,"58,980,000","28,790,000",✘,✘,␣,✔,36,✘
D0002,␣,␣,"4,440,000",␣,달에 완전히,␣,✘,73.1,␣,8390000,␣,✔,95.7,✘,∅,19680000,✘,✘,✘,✔,34,마주,✘,"55,510,000",✔,✘,␣,30,"9,750,000",✘,우유에,87.0,✔,"56,430,000",1830548708,L1RUPWD,93.9,33,"3,330,000",␣,✘,✘,␣,␣,␣,✔,렉스턴 시빅,"4,290,000","6,530,000",✘,✘,"4,330,000",✘,33,✘
D0003,"5,440,000","1,150,000",␣,"9,870,000",하나. 동부에,의해서건,✔,␣,␣,"8,790,000",41.7,✘,31.4,✔,∅,"73,630,000",✘,✘,✘,✔,8,중국술이라는 뜻으로,✘,␣,✔,✘,25,19,"5,320,000",✘,물론 정상이었다.,␣,✘,"8,990,000",1584408088,LR6MS8K,96.3,30,␣,6.4,✘,✘,␣,하다,11,✔,SM7 말리부,␣,37370000,✘,✘,"49,350,000",✘,19,✔
D0004,"17,450,000","49,970,000","8,310,000","75,480,000",이,␣,✘,92.2,77590000,"86,130,000",88.2,✘,12.3,✔,∅,"87,340,000",✘,✘,✔,✘,27,피보험자와 해상,✘,"38,640,000",✘,✘,␣,35,"6,180,000",✔,하나.,68.4,✔,"2,150,000",1188250299,LW3Z87U,␣,35,"2,710,000",34.5,✘,✘,시원하게,␣,␣,✔,␣,"40,450,000",18460000,✔,✘,"6,240,000",✘,28,✔
D0005,51250000,95360000,"7,450,000","5,310,000",하다 효정하여,이르는,✘,34.8,␣,␣,␣,✘,55.8,✘,∅,"4,530,000",✘,✘,✔,✔,15,들인,✔,"94,910,000",✘,✘,30,6,␣,✘,한다.,74.4,✘,␣,1492926651,LP1U4US,48.8,␣,␣,58.7,✘,✘,국가별 원조를,␣,19,✘,르노 아이오닉6,52850000,34230000,✘,✘,16240000,✘,2,✘
D0006,␣,␣,"58,890,000","92,820,000",␣,성능을,✘,88.3,␣,␣,19.0,✔,53.2,✘,∅,"2,130,000",✘,✘,✔,✘,31,검표하는 데,✘,"5,760,000",✘,✘,9,2,"3,840,000",✘,␣,74.7,✘,"6,550,000",9335013461,L9QDRO9,61.5,21,␣,␣,✘,✘,경방하다 경계하여,␣,11,✘,아반떼 5 시리즈,"47,330,000",78810000,✔,✘,␣,✔,29,✘
D0007,␣,␣,"89,110,000","8,120,000",␣,자갈.,✘,47.7,"47,340,000","6,250,000",51.2,✔,␣,✔,∅,␣,✔,✘,✘,✔,␣,조항이,✘,␣,✘,✘,5,␣,4410000,✔,금융. 건조,␣,✔,"7,470,000",9013939224,LFWJB5W,83.2,34,"79,850,000",␣,✘,✘,␣,200mm,17,✔,하이랜더 도요타,21890000,␣,✘,✘,␣,✘,1,✘
D0008,"76,830,000",␣,␣,"59,570,000",믿고,␣,✘,␣,"7,180,000",␣,4.6,✘,␣,✔,∅,␣,✘,✘,✔,✔,34,놓고 때림.,✘,␣,✘,✔,12,␣,"7,580,000",✘,␣,97.7,✘,"4,460,000",9023105150,␣,68.9,␣,␣,26.0,✔,✘,␣,그런,5,✘,␣,"36,650,000","77,360,000",✘,✘,␣,✔,6,✘
D0009,"86,190,000","8,940,000","33,620,000",␣,광원과 직각으로,방청권을,✘,12.8,␣,"69,110,000",47.8,✘,5.7,✘,∅,"54,540,000",✔,✔,✘,✔,20,꿀.,✔,␣,✘,✘,10,25,"8,590,000",✘,␣,23.3,✔,"7,810,000",1169894990,L7773PC,␣,␣,␣,87.0,✔,✔,미소가,␣,17,✘,벨로스터 아우디,8370000,"38,660,000",✔,✘,␣,✘,3,✘
E0000,"32,120,000","9,880,000",␣,"84,740,000",␣,진찰,✘,92.0,␣,␣,␣,✘,19.1,✘,∅,␣,✔,✘,✘,✘,␣,␣,✘,␣,✘,✘,␣,␣,␣,✘,쓴다. 부호,␣,✘,␣,1883194126,LTBXT5W,86.3,␣,"4,440,000",90.6,✘,✔,␣,␣,16,✘,E 클래스 C 클래스,␣,"4,190,000",✘,✘,"82,390,000",✘,30,✘
E0001,"96,850,000",␣,␣,␣,␣,"목욕탕,",✔,92.8,␣,"3,940,000",47.8,✘,15.0,✘,∅,"87,990,000",✔,✔,✘,✘,␣,이,✔,"29,810,000",✘,✔,27,9,"6,210,000",✘,하다,16.6,✘,␣,9903379211,LBA9UMW,29.9,␣,9760000,89.9,✘,✔,말.,␣,3,✘,␣,"5,440,000",␣,✔,✔,␣,✘,␣,✘
