image,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,090,097,062,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
A0011,✘,✘,✘,✘,✘,␣,✔,✘,100000,✘,∅,␣,✘,48,✘,✘,✔,␣,✘,␣,48,✘,␣,✘,␣,✘,✘,"65,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,48,✘,✘,✘,✘,␣,✘,580000,✘,␣,"5,265,000",480000,✘,✘,✘,✘,✘,✘,✘,␣,"59,735,000",✘,␣,✘,✘,✘
A0012,✘,✘,✘,✘,✘,␣,✘,✔,65000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,25000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,635000,✘,␣,1325000,570000,✘,✘,✘,✘,✘,✘,✘,␣,23675000,✘,␣,✘,✘,✘
A0013,✘,✘,✘,✘,✘,␣,✔,✘,85000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,75000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"745,000",✘,␣,3150000,"660,000",✘,✘,✘,✘,✘,✘,✘,␣,71850000,✘,␣,✘,✘,✘
A0014,✘,✘,✘,✘,✘,␣,✘,✔,115000,✘,∅,␣,✘,48,✘,✘,✔,␣,✘,␣,48,✘,␣,✘,␣,✘,✘,100000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,48,✘,✘,✘,✘,␣,✘,895000,✘,␣,9500000,780000,✘,✘,✘,✘,✘,✘,✘,␣,90500000,✘,␣,✘,✘,✘
A0015,✘,✘,✘,✘,✘,␣,✔,✘,"135,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,35000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✔,1005000,✘,␣,980000,"870,000",✘,✘,✘,✘,✘,✘,✘,␣,34020000,✘,␣,✘,✘,✘
A0016,✘,✘,✘,✘,✘,␣,✘,✔,"50,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,45000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✔,"1,010,000",✘,␣,1065000,960000,✘,✘,✘,✘,✘,✘,✘,␣,43935000,✘,␣,✘,✘,✘
A0017,✘,✘,✘,✘,✘,␣,✔,✘,70000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"85,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✔,1120000,✘,␣,"2,975,000","1,050000",✘,✘,✘,✘,✘,✘,✘,␣,"82,025,000",✘,␣,✘,✘,✘
A0018,✘,✘,✘,✘,✘,␣,✘,✔,"95,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"55,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✔,1235000,✘,␣,"5,390,000",1140000,✘,✘,✘,✘,✘,✘,✘,␣,"49,610,000",✘,␣,✘,✘,✘
A0019,✘,✘,✘,✘,✘,␣,✔,✔,"125,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,95000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1355000,✘,␣,6080000,1230000,✘,✘,✘,✘,✘,✘,✘,␣,88920000,✘,␣,✘,✘,✘
A0020,✘,✘,✘,✘,✘,␣,✘,✔,70000,✘,∅,␣,✘,36,✘,✘,✔,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"20,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,450000,✘,␣,"2,000,000",380000,✘,✘,✘,✘,✘,✘,✘,␣,"18,000,000",✘,␣,✘,✘,✘
A0021,✘,✘,✘,✘,✘,␣,✔,✘,"95,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"40,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"545,000",✘,␣,"2,200,000","450,000",✘,✘,✘,✘,✘,✘,✘,␣,"37,800,000",✘,␣,✘,✘,✘
A0022,✘,✘,✘,✘,✘,␣,✘,✔,"110,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"70,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,650000,✘,␣,2310000,540000,✘,✘,✘,✘,✘,✘,✘,␣,"67,690,000",✘,␣,✘,✘,✘
A0023,✘,✘,✘,✘,✘,␣,✔,✘,"135,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"30,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,765000,✘,␣,"860,000",630000,✘,✘,✘,✘,✘,✘,✘,␣,"9,140,000",✘,␣,✘,✘,✘
A0024,✘,✘,✘,✘,✘,␣,✘,✔,"55,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,30000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,775000,✘,␣,1470000,720000,✘,✘,✘,✘,✘,✘,✘,␣,28530000,✘,␣,✘,✘,✘
A0025,✘,✘,✘,✘,✘,␣,✔,✘,"80,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,60000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,890000,✘,␣,4320000,810000,✘,✘,✘,✘,✘,✘,✘,␣,55680000,✘,␣,✘,✘,✘
A0026,✘,✘,✘,✘,✘,␣,✘,✔,"105,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"80,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"1,005,000",✘,␣,"1,680,000","900,000",✘,✘,✘,✘,✘,✘,✘,␣,"78,320,000",✘,␣,✘,✘,✘
A0027,✘,✘,✘,✘,✘,␣,✔,✘,"120,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"50,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"1,200,000",✘,␣,"2,950,000","1,080,000",✘,✘,✘,✘,✘,✘,✘,␣,"47,050,000",✘,␣,✘,✘,✘
A0028,✘,✘,✘,✘,✘,␣,✘,✔,"145,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"100,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1315000,✘,␣,"4,700,000",1170000,✘,✘,✘,✘,✘,✘,✘,␣,"95,300,000",✘,␣,✘,✘,✘
A0029,✘,✘,✘,✘,✘,␣,✔,✘,"60,000",✘,∅,␣,✘,36,✘,✘,✔,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"53,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,1320000,✘,␣,"3,000,000",1260000,✘,✘,✘,✘,✘,✘,✘,␣,"50,000,000",✘,␣,✘,✘,✘
D0000,✘,✘,✔,✘,✘,맡아보던,✘,✘,"78,720,000",✘,∅,␣,✘,26,✘,✔,✘,␣,✔,2930000,16,✘,2808만원,✘,␣,✘,✔,"4,990,000",✘,"61,490,000",✘,✘,✔,␣,✔,✘,✔,✔,5,설립한,✔,✘,✘,✘,✘,후보를,✔,✔,1937296727,15,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,방주02 네모진,␣,✘,"6,610,000",69.7,✔,✔,✔,␣,✘,33,✘,✔,✔,✔,␣,✘,"68,230,000",✘,13,␣,␣,✔,✘,✔,✔,✘,✔,✘,20,"6,490,000",✘,22,✘,✘,✘
D0001,✘,✔,✘,✘,✘,이괄이,✘,✘,␣,✘,∅,␣,✘,36,✔,✔,✔,P6J339A,✘,"74,510,000",9,✘,1197만원,✘,␣,✘,✔,␣,✘,␣,✘,✘,✘,뒤늦게,✘,✔,✘,✔,23,␣,✔,✘,✔,✘,✘,처음,✔,✔,␣,␣,✘,✘,✘,✘,"5,240,000",✘,✔,15,✔,✘,✘,✔,✔,얼마만큼의 상품,6,✔,"15,440,000",28.3,✘,✘,✘,␣,✘,19,✔,✘,✘,✘,54세,✘,"56,730,000",✘,15,68770000,"3,130,000",✘,✘,✘,✔,✔,✔,✘,1,"3,180,000",✘,25,✘,✘,✘
D0002,✘,✘,✔,✘,✘,편성한,✘,✘,"66,780,000",✔,∅,사견과,✔,4,✘,✘,✘,␣,✘,"38,310,000",34,✔,3642만원,✘,␣,✘,✔,␣,✔,␣,✔,✔,✘,뽑아냄.,✔,✘,✘,✔,␣,알리다.,✘,✘,✘,✔,✘,파심02,✘,✘,1564940859,7,✘,✔,✔,✔,"64,760,000",✔,✔,32,✘,✘,✘,✘,✘,␣,31,✔,␣,31.8,✔,✔,✘,34,✘,␣,✔,✔,✔,✘,60세,✘,␣,✘,10,␣,"65,880,000",✔,✘,✔,✔,✘,✔,✘,11,89240000,✘,19,✘,✔,✘
D0003,✔,✘,✔,✘,✘,␣,✘,✘,␣,✔,∅,일정한,✘,␣,✔,✘,✘,PP1JNQ9,✔,"4,340,000",␣,✘,␣,✔,"56,380,000",✘,✔,"29,420,000",✘,3180000,✘,✘,✘,␣,✔,✘,✔,✘,␣,모아들임.,✘,✔,✘,✘,✘,이르는,✘,✘,9625766670,22,✘,✔,✔,✘,␣,✔,✔,22,✘,✘,✘,✔,✔,"차던,",␣,✘,"18,780,000",␣,✘,✘,✔,␣,✘,2,✔,✘,✘,✘,39세,✔,"51,980,000",✘,8,␣,"31,290,000",✘,✘,✘,✘,✘,✘,✔,9,"3,570,000",✘,54,✔,✘,✘
D0004,✘,✘,✘,✘,✔,␣,✘,✘,"6,140,000",✔,∅,␣,✘,␣,✘,✘,✘,␣,✘,␣,5,✘,␣,✘,"22,190,000",✘,✘,4990000,✘,"3,390,000",✘,✘,✘,질병이라도,✔,✘,✘,✘,8,␣,✘,✘,✘,✘,✘,␣,✔,✘,1013387014,31,✘,✘,✔,✘,␣,✘,✘,15,✘,✘,✔,✔,✘,높은,7,✔,␣,␣,✘,✘,✘,10,✘,␣,✘,✘,✔,✘,␣,✘,"75,930,000",✘,␣,"15,440,000","19,130,000",✔,✘,✘,✔,✘,✔,✘,12,"49,680,000",✘,31,✔,✘,✘
D0005,✘,✘,✘,✔,✘,받지,✘,✘,␣,✔,∅,␣,✘,34,✘,✘,✘,PF77TT2,✘,␣,11,✘,␣,✘,"25,710,000",✘,✔,"14,890,000",✘,"1,120,000",✘,✘,✔,돈 따위를,✘,✘,✘,✘,␣,탐지하는,✘,✘,✔,✘,✘,소리 없이,✘,✔,9175590468,26,✘,✔,✘,✔,␣,✘,✘,␣,✔,✘,✔,✘,✔,임금의 거처.,24,✘,␣,␣,✔,✘,✔,25,✘,17,✘,✔,✔,✘,31세,✔,"8,620,000",✘,␣,␣,␣,✔,✘,✔,✔,✘,✘,✘,4,"45,680,000",✘,32,✘,✔,✘
D0006,✔,✘,✘,✘,✘,␣,✘,✘,"5,490,000",✔,∅,경솔한,✘,26,✘,✘,✘,␣,✘,"3,940,000",36,✔,4627만원,✔,␣,✘,✘,"4,570,000",✔,"1,150,000",✔,✘,✔,정련되다01,✘,✘,✘,✘,9,채권을,✘,✘,✔,✔,✘,먹고,✘,✘,9228552279,16,✔,✘,✘,✘,37860000,✘,✘,24,✘,✘,✘,✔,✘,펄스의 진폭위치지속,22,✘,␣,89.2,✔,✘,✘,27,✔,␣,✔,✘,✘,✘,58세,✔,"5,180,000",✘,12,"3,240,000","4,540,000",✘,✘,✔,✘,✘,✔,✘,␣,␣,✘,␣,✔,✔,✔
D0007,✘,✘,✘,✔,✘,밝고,✘,✔,3540000,✔,∅,␣,✔,36,✔,✘,✔,PJHGYIN,✘,␣,27,✘,2350만원,✘,␣,✘,✘,78970000,✘,"94,120,000",✘,✘,✘,집.,✔,✘,✔,✘,33,무역,✘,✘,✘,✘,✔,␣,✘,✘,␣,30,✘,✔,✔,✔,"6,490,000",✔,✔,26,✔,✘,✔,✘,✔,␣,␣,✔,␣,␣,✘,✘,✘,␣,✔,23,✘,✔,✘,✔,62세,✔,"9,280,000",✘,11,"6,350,000",␣,✘,✘,✘,✔,✘,✔,✘,35,"98,270,000",✘,60,✔,✘,✘
D0008,✘,✔,✘,✘,✘,기둥을,✘,✘,59230000,✔,∅,알아보는,✘,27,✘,✘,✔,␣,✘,"3,760,000",25,✘,3693만원,✘,"67,150,000",✘,✘,"81,940,000",✘,"17,740,000",✘,✘,✘,␣,✘,✘,✔,✔,36,산업.,✘,✔,✘,✘,✘,␣,✘,✔,9398396259,23,✘,✔,✘,✘,"14,270,000",✘,✘,␣,✔,✘,✘,✘,✘,␣,␣,✔,␣,4.5,✘,✘,✘,␣,✔,1,✔,✔,✘,✔,␣,✘,"35,720,000",✔,1,␣,␣,✘,✘,✔,✘,✘,✘,✘,␣,7230000,✘,68,✘,✘,✘
D0009,✘,✘,✘,✘,✘,␣,✘,✔,"95,770,000",✘,∅,높이는,✘,␣,✘,✘,✘,␣,✘,"12,930,000",26,✘,1999만원,✘,"3,140,000",✔,✘,"8,810,000",✔,"55,370,000",✘,✘,✔,자면서 꾸는,✘,✘,✘,✔,22,␣,✘,✘,✔,✔,✘,얼굴을,✔,✘,␣,34,✔,✘,✘,✔,␣,✘,✘,␣,✘,✘,✔,✘,✘,꼴이,␣,✔,␣,26.7,✔,✔,✘,29,✔,␣,✘,✘,✘,✘,37세,✘,79270000,✔,␣,"3,420,000",87370000,✘,✘,✘,✘,✘,✔,✘,13,"2,510,000",✘,40,✘,✔,✔
D0010,✘,✘,✘,✔,✔,␣,✔,✘,"6,290,000",✘,∅,␣,✔,3,✘,✔,✔,P1BP9ER,✔,␣,4,✘,1553만원,✘,␣,✘,✘,␣,✘,"79,140,000",✔,✘,✔,"모양이고, 홀씨주머",✘,✘,✘,✘,13,인해,✘,✘,✘,✘,✘,␣,✘,✘,␣,12,✘,✔,✔,✘,"15,520,000",✘,✘,26,✘,✘,✘,✘,✘,"옷장, 이불장,",␣,✘,52170000,20.7,✘,✘,✘,19,✘,26,✔,✘,✔,✔,55세,✘,␣,✔,18,79680000,␣,✘,✘,✘,✘,✘,✘,✔,10,␣,✔,46,✔,✘,✘
D0011,✔,✘,✘,✘,✔,세,✔,✘,"59,680,000",✘,∅,모르는,✘,␣,✘,✘,✘,␣,✘,4280000,22,✘,␣,✘,"13,610,000",✘,✔,␣,✘,␣,✘,✔,✘,뿌려 구운,✔,✘,✘,✘,9,물건이,✔,✘,✔,✘,✘,목구멍에 침,✔,✘,1411180011,4,✘,✘,✘,✘,37230000,✘,✔,␣,✘,✘,✘,✘,✘,처음부터 끝까지,␣,✔,"2,910,000",77.0,✘,✘,✘,1,✔,␣,✘,✘,✔,✘,57세,✔,"72,790,000",✘,29,␣,"2,140,000",✘,✘,✘,✘,✘,✘,✔,␣,"34,370,000",✔,29,✔,✔,✘
E0000,✘,✔,✘,✘,✘,대개,✔,✘,6580000,✔,∅,계율을,✘,9,✘,✔,✘,␣,✔,"8,420,000",9,✘,1207만원,✔,␣,✘,✘,"9,540,000",✘,"83,970,000",✘,✘,✔,대상이 되는,✘,✘,✔,✔,␣,␣,✘,✘,✘,✘,✘,것을 속되게,✔,✔,9127913546,11,✘,✘,✘,✘,␣,✘,✘,␣,✘,✔,✘,✘,✘,␣,␣,✘,"11,530,000",14.8,✘,✘,✘,␣,✔,33,✔,✘,✘,✘,18세,✘,␣,✘,18,"2,120,000","58,520,000",✘,✔,✘,✘,✘,✔,✘,26,9470000,✔,␣,✘,✔,✘
