image,015,017,022,033,051,002,041,032,040,050,036,043,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
A0010,␣,"45,460,00",525150,␣,␣,유색,✘,2,␣,␣,11.3,✔,✘,∅,␣,✘,✘,✘,✔,␣,150,✘,"16,365,600",✘,✘,60,␣,␣,✘,3만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,럭키카매매센터,5,✘,EV6,␣,␣,✔,✘,"41,220,000",✔,␣,✘
A0011,␣,"4,533,000",4989930,␣,␣,검정,✘,2,␣,␣,6.2,✘,✘,∅,␣,✔,✘,✘,✔,␣,200,✘,"16,318,800",✔,✘,6,␣,␣,✘,1만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,드라이빙파트너스,4,✘,싼타페,␣,␣,✘,✔,"40,914,000",✘,6,✘
A0012,␣,"4,533,000","2,826,170",␣,␣,흰색,✘,2,␣,␣,19.9,✔,✔,∅,␣,✘,✘,✘,✔,␣,100,✘,"16,318,800",✘,✘,12,␣,␣,✘,"20,000",2,✔,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,오토플러스중고차,4,✘,␣,␣,␣,✘,✘,"40,797,000",✘,␣,✘
A0013,␣,"4,512,000","1,329,540",␣,␣,흰색,✘,2,␣,␣,13.5,✘,✘,∅,␣,✘,✘,✘,✔,␣,150,✘,"16,243,200",✔,✔,24,␣,␣,✘,15만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,카젠중고차,1,✘,␣,␣,␣,✔,✘,"40,797,000",✘,␣,✘
A0014,␣,"4,423,000",",818,550",␣,␣,검정,✘,2,␣,␣,7.1,✔,✘,∅,␣,✘,✘,✘,✔,␣,200,✘,"15,922,800",✘,✘,36,␣,␣,✘,"30,000",2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,드림팀자동차,1,✘,G80,␣,␣,✘,✔,"40,608,000",✘,␣,✔
A0015,␣,"4,238,000",642480,␣,␣,검정,✘,␣,␣,␣,16.7,✘,✘,∅,␣,✘,✘,✘,✘,␣,100,✘,"15,256,800",✔,✘,48,␣,␣,✘,1만,␣,✔,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,굿카매매상사,2,✔,E클래스,␣,␣,✘,✘,"39,807,000",✘,␣,✘
A0016,␣,"4,225,000",486270,␣,␣,검정,✘,2,␣,␣,10.9,✔,✘,∅,␣,✘,✘,✘,✘,␣,150,✘,"15,210,000",✘,✘,60,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,스타카중고차,1,✔,쏘렌토,␣,␣,✔,✘,"38,142,000",✔,␣,✘
A0017,␣,"4,221,000",5213780,␣,␣,검정,✘,2,␣,␣,18.8,✘,✘,∅,␣,✔,✘,✘,✘,␣,200,✘,"15,195,600",✔,✘,6,␣,␣,✘,1.5,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,해피모터스,2,✔,카니발,␣,␣,✘,✔,"38,025,000",✘,6,✘
A0018,␣,"4,213,000",2325580,␣,␣,검정,✘,2,␣,␣,6.5,✔,✔,∅,␣,✘,✘,✘,✘,␣,100,✘,"15,166,800",✘,✘,12,␣,␣,✘,3만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,탑카자동차,1,✔,그랜저,␣,␣,✘,✘,"37,989,000",✘,␣,✘
A0019,␣,4.159.000,1211100,␣,␣,유색,✘,2,␣,␣,12.2,✘,✘,∅,␣,✘,✘,✘,✘,␣,150,✘,14.972.400,✔,✔,24,␣,␣,✘,1만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,에이스중고차,4,✔,쏘렌토,␣,␣,✔,✘,37917000,✘,␣,✘
A0020,␣,"4,129.000","863,240",␣,␣,유색,✘,2,␣,␣,20.6,✔,✘,∅,␣,✘,✘,✘,✘,␣,200,✘,14.864.400,✘,✘,36,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,드라이브존,4,✔,쏘렌토,␣,␣,✘,✔,37431000,✘,␣,✔
A0021,␣,"41,210,00",577490,␣,␣,유색,✘,2,␣,␣,8.1,✘,✘,∅,␣,✘,✘,✘,✘,␣,100,✘,"14,835,600",✔,✘,48,␣,␣,✘,1.5만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,카스타중고차,5,✔,EV6,␣,␣,✘,✘,"37,161,000",✘,␣,✘
A0022,␣,"4,031,000","481,140",␣,␣,흰색,✘,2,␣,␣,14.9,✔,✘,∅,␣,✘,✘,✘,✘,␣,150,✘,"14,511,600",✘,✘,60,␣,␣,✘,3만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,챔피언자동차,1,✔,G80,␣,␣,✔,✘,"37,089,000",✔,␣,✘
A0023,␣,"4,005,000","4,541,140",␣,␣,검정,✘,2,␣,␣,9.3,✘,✘,∅,␣,✔,✘,✘,✘,␣,200,✘,"14,418,000",✔,✘,6,␣,␣,✘,1만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,킹카매매센터,2,✔,모하비,␣,␣,✘,✘,"36,279,000",✘,6,✘
A0024,␣,4.002.000,2446020,␣,␣,유색,✘,2,␣,␣,17.6,✔,✔,∅,␣,✘,✘,✘,✘,␣,100,✘,14.407.200,✘,✘,12,␣,␣,✘,2만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,파인드카중고차,1,✔,G80,␣,␣,✘,✘,36.045.000,✘,␣,✘
A0025,␣,3.939.000,1141780,␣,␣,검정,✘,2,␣,␣,11.7,✘,✘,∅,␣,✘,✘,✘,✘,␣,150,✘,14.180.400,✔,✔,24,␣,␣,✘,1.5만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,드림위드자동차,1,✔,G80,␣,␣,✔,✘,36.018.000,✘,␣,✘
A0026,␣,3.886.000,711570,␣,␣,검정,✘,2,␣,␣,6,✔,✘,∅,␣,✘,✘,✘,✘,␣,200,✘,13.989.600,✘,✘,36,␣,␣,✘,3만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,오토뱅크중고차,1,✔,GV70,␣,␣,✘,✔,35.451.000,✘,␣,✔
A0027,␣,3.859.000,598920,␣,␣,흰색,✘,2,␣,␣,19.4,✘,✘,∅,␣,✘,✘,✘,✘,␣,100,✘,13.892.400,✔,✘,48,␣,␣,✘,1만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,카플러스매매상사,1,✔,싼타페,␣,␣,✘,✘,34.974.000,✘,␣,✘
A0028,␣,"3,817,000","448,270",␣,␣,유색,✘,2,␣,␣,13.1,✔,✘,∅,␣,✘,✘,✘,✘,␣,150,✘,"13,741,200",✘,✘,60,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,드림카랜드,2,✔,카니발,␣,␣,✔,✘,"34,731,000",✔,␣,✘
A0029,␣,"3,815,000","4,069,330",␣,␣,유색,✘,2,␣,␣,9.1,✘,✘,∅,␣,✔,✘,✘,✘,␣,200,✘,13.734.000,✔,✘,6,␣,␣,✘,3만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,썬라이즈자동차,1,✔,K8,␣,␣,✘,✔,"34,353,000",✘,6,✘
D0000,"94,650,000","6,230,000","6,250,000",␣,␣,배우게,✘,12.9,"99,820,000","47,690,000",7.9,✘,✔,∅,"9,520,000",✘,✔,✘,✘,18,떠내는,✘,"61,260,000",✔,✘,24,␣,␣,✘,바깥쪽 약간,13.4,✔,"89,560,000",9852791487,LIG1LVU,71.5,␣,␣,49.4,✘,✘,"신문. 신문사에서,",␣,␣,✘,르노 스타리아쉐보레,"5,850,000","6,880,000",✘,✘,␣,✔,␣,✘
D0001,"9,230,000","58,870,000","98,920,000",38740000,␣,잘난,✘,␣,"5,110,000","9,380,000",24.9,✘,✔,∅,␣,✘,✘,✘,✔,␣,할 판이니,✘,␣,✔,✔,␣,␣,␣,✔,최고의,25.8,✘,91940000,1615027824,LWHZBCJ,66.2,1,␣,␣,✘,✔,나타난다.,␣,␣,✘,iX 그랜저,␣,"13,980,000",✔,✘,"6,540,000",✘,␣,✘
D0002,"95,610,000","37,480,000","5,890,000",14860000,국제회의에서 음악에,␣,✔,34.0,␣,"59,370,000",60.2,✘,✔,∅,"9,310,000",✘,✘,✘,✘,22,␣,✘,7880000,✘,✘,28,31,"8,120,000",✘,배청하다,30.8,✔,5690000,9732711002,LGTC83H,36.7,13,␣,4.9,✘,✘,앉았다. 술을,층.,7,✘,쏘나타 베뉴,"3,980,000","9,350,000",✔,✔,"93,720,000",✔,11,✘
D0003,␣,78960000,29750000,"5,550,000",562443궁폐하다,␣,✘,84.9,"87,560,000","1,290,000",␣,✘,✘,∅,␣,✘,✘,✘,✔,␣,무리.,✘,"29,180,000",✔,✘,26,1,"3,560,000",✘,␣,81.1,✔,8310000,9322131633,L1AJND7,0.0,17,"9,870,000",77.1,✘,✘,갈,"있으며,",14,✘,␣,␣,"94,840,000",✘,✘,␣,✘,27,✔
D0004,"67,480,000",␣,"9,890,000",␣,고아서,늙은이의,✔,31.5,3310000,"54,860,000",␣,✘,✔,∅,54920000,✘,✔,✘,✘,11,␣,✘,"73,790,000",✘,✘,10,␣,"37,460,000",✘,얇은,␣,✘,7590000,1475007045,L8E6FDU,␣,25,"11,690,000",95.8,✔,✔,␣,도덕에,2,✔,GV70 렉스턴,"24,560,000","9,580,000",✘,✘,"77,540,000",✘,2,✔
D0005,"2,290,000",␣,␣,␣,␣,심벽02,✔,31.7,"1,780,000",␣,61.0,✘,✔,∅,"22,130,000",✘,✘,✔,✘,␣,␣,✘,4620000,✔,✘,27,26,"6,470,000",✘,짙은 천리향의,␣,✔,"41,780,000",␣,LXKF7DC,85.6,␣,␣,36.4,✔,✘,점점 더,주거나,7,✘,␣,"78,630,000",␣,✔,✔,␣,✘,␣,✔
D0006,"13,660,000",␣,"2,180,000",␣,배,␣,✘,60.6,"17,870,000",␣,10.8,✔,✘,∅,␣,✔,✘,✘,✔,␣,이어서 쓰는,✘,␣,✘,✘,3,23,"2,410,000",✘,␣,86.7,✔,"67,170,000",␣,LY1Y8VI,␣,8,␣,␣,✘,✔,때 백제의,표준어이다.,␣,✘,RAV4 넥쏘,␣,"33,120,000",✔,✘,"6,210,000",✔,␣,✘
D0007,58950000,"2,420,000",␣,"38,420,000",찾아가서 뵘.,␣,✘,51.7,"16,470,000",72330000,26.7,✘,✘,∅,"9,810,000",✘,✘,✘,✘,␣,아니함.,✘,"42,410,000",✘,✔,␣,34,"82,580,000",✔,␣,␣,✘,␣,1840150669,L89WRE0,7.9,36,"2,820,000",73.1,✘,✘,␣,나타내는,1,✘,XM3 GV60,"22,280,000",␣,✘,✘,␣,✘,36,✘
D0008,␣,␣,"56,830,000","1,150,000",수량.,보내,✔,25.0,␣,␣,37.3,✔,✘,∅,"5,330,000",✘,✘,✘,✘,␣,금속으로 테두리를,✘,"32,870,000",✘,✘,␣,␣,␣,✔,␣,87.5,✘,"84,780,000",9291304448,LGH537O,99.3,2,"6,640,000",␣,✘,✘,할,␣,9,✘,파나메라 마칸,␣,"5,850,000",✘,✘,9740000,✔,␣,✘
D0009,"4,950,000","54,120,000","87,180,000","1,410,000",␣,연점01,✔,␣,"51,220,000","6,580,000",19.2,✘,✘,∅,"67,570,000",✔,✘,✘,✘,␣,있다. Pirand,✔,"3,470,000",✔,✘,30,28,"7,480,000",✘,␣,98.5,✘,"43,850,000",9661124150,␣,␣,26,␣,74.8,✘,✔,␣,일자리가,12,✘,르노 스타리아쉐보레,56790000,␣,✘,✘,␣,✘,20,✘
E0000,␣,"19,710,000",␣,␣,등식.,내다.,✔,␣,"67,410,000",32350000,34.4,✘,✔,∅,"3,770,000",✘,✘,✘,✘,22,애잔히 몹시,✘,"4,150,000",✘,✘,12,31,"4,870,000",✘,␣,88.6,✘,"45,590,000",1923211296,LFBI4UL,24.6,3,6420000,␣,✘,✘,␣,관하여,7,✘,3 시리즈 5 시리즈,␣,"17,550,000",✔,✘,"35,140,000",✔,32,✔
E0001,␣,"24,120,000",␣,"3,540,000",본디부터의 임자.,␣,✘,␣,"3,360,000","1,720,000",59.6,✔,✔,∅,"11,250,000",✘,✘,✘,✘,␣,한자를 빌려,✘,52120000,✔,✔,10,1,␣,✔,한글로,␣,✔,79920000,9319372400,LCMEFJM,47.8,24,"18,950,000",35.5,✔,✘,␣,안의,18,✘,벨로스터 트레일블레이저,"21,870,000","76,880,000",✔,✘,"33,220,000",✘,31,✘
E0002,␣,"88,890,000","84,690,000","1,750,000",␣,준비하여,✘,90.4,␣,␣,12.2,✔,✘,∅,"51,880,000",✔,✘,✘,✘,␣,썰어 막걸리에,✘,"8,230,000",✘,✔,34,33,5540000,✔,자.,␣,✘,"81,870,000",1269038609,␣,68.8,34,␣,25.8,✘,✘,␣,␣,4,✘,크루즈 911,␣,␣,✔,✔,␣,✘,␣,✘
