image,015,017,022,088,082,002,041,040,050,019,008,052,026,006,042,100,009,024,045,102,058,101,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,043,059,067,016,079,013,055,023,039,018,021,093,044,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,027,078
C0010,✔,✘,"31,720,000",✔,✔,151모 6765,✔,✔,✘,7,✘,✔,협의에,✘,✘,✘,✘,✔,✔,␣,✘,␣,✔,✘,✘,1562만원,1170000,✔,✘,✘,✘,✔,✘,✘,치운다는,✘,자기가,✘,✘,✔,35,✔,✘,✘,✔,그,✘,✔,✔,✘,✘,✘,✔,✔,1602만원,✘,✘,✘,28세,✔,✔,✔,✘,␣,✘,✘,"5,930,000",1147403044,✘,16,✘,✔,✘,✘,✘,✘,✘,8,✘,✔,✔,✘,∅,I9P0QI7,"9,390,000",A3 Q3,✘,✘,✔,␣,␣,␣,✘,✘
C0011,✘,✘,"5,910,000",✘,✘,189우 0769,✘,✘,✘,␣,✘,✘,가입한,✘,✘,✘,✔,✘,✘,␣,✘,␣,✘,✔,✘,4967만원,92290000,✔,✘,✔,✔,✔,✘,✘,␣,✔,␣,✘,✘,✘,5,✘,✔,✔,✘,␣,✘,✘,✘,✘,✘,✔,✔,✘,3524만원,✘,✘,✔,␣,✘,✘,✘,✘,67440000,✘,✔,"91,360,000",9518206603,✘,␣,✘,✘,✔,✘,✔,✘,✔,2,✔,✘,✘,✘,∅,I03P3BC,"76,110,000",␣,✘,✔,✘,␣,3,␣,✘,✘
D0000,✘,✘,"5,890,000",✘,✘,52다 9719,✘,✘,✘,␣,✘,✘,␣,✘,✔,✘,✘,✘,✘,␣,✘,␣,✘,✔,✘,␣,␣,✔,✘,✘,✔,✘,✘,✔,␣,✘,␣,✔,✘,✘,11,✔,✔,✔,✘,␣,✘,✘,✘,✘,✔,✔,✘,✔,␣,✘,✔,✘,21세,✘,✘,✘,✘,␣,✘,✘,"7,870,000",␣,✘,31,✘,✘,✘,✘,✔,✔,✘,1,✔,✔,✘,✔,∅,ZDYVS5P,␣,렉스턴 콜로라도,✘,✘,✔,2,3,3,✘,✘
D0001,✘,✘,␣,✘,✔,363두 3153,✔,✘,✔,3,✘,✘,흰,✘,✘,✘,✘,✘,✘,␣,✘,␣,✘,✘,✘,2987만원,␣,✔,✘,✘,✘,✔,✘,✔,␣,✘,␣,✘,✘,✘,10,✔,✘,✔,✘,␣,✘,✘,✔,✔,✘,✔,✔,✔,4279만원,✘,✘,✘,70세,✘,✔,✘,✔,␣,✘,✔,"59,710,000",9449188890,✔,18,✘,✘,✘,✔,✘,✘,✔,2,✔,✘,✘,✘,∅,ZP4N7YM,"73,360,000",␣,✔,✔,✔,29,2,␣,✘,✘
D0002,✘,✘,"8,210,000",✔,✘,326무 9029,✘,✘,✘,7,✘,✔,␣,✔,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✔,2339만원,"66,620,000",✔,✔,✘,✔,✘,✔,✘,␣,✘,낸 것을,✘,✘,✔,3,✔,✔,✘,✔,이르는,✔,✘,✘,✘,✔,✔,✘,✘,4565만원,✘,✘,✔,62세,✘,✘,✔,✘,"95,810,000",✘,✔,"5,670,000",␣,✘,␣,✔,✘,✘,✔,✔,✔,✘,1,✘,✔,✘,✘,∅,ZNDJGJY,␣,팰리세이드 X1,✔,✘,✘,22,␣,12,✔,✔
D0003,✔,✔,"47,580,000",✔,✘,60라 0567,✔,✔,✘,10,✔,✘,␣,✘,✘,✘,✘,✘,✘,␣,✘,␣,✘,✘,✔,2646만원,␣,✘,✘,✘,✔,✘,✘,✘,거동을,✘,␣,✘,✘,✘,28,✘,✘,✔,✘,사서.,✘,✔,✘,✘,✘,✘,✔,✘,3673만원,✔,✘,✘,44세,✘,✘,✘,✘,"64,660,000",✘,✘,"2,230,000",␣,✘,18,✘,✘,✔,✘,✘,✔,✔,8,✘,✘,✔,✔,∅,␣,␣,XM3 이쿼녹스,✔,✔,✘,2,9,8,✘,✘
D0004,✘,✔,"6,780,000",✘,✘,␣,✘,✘,✔,8,✘,✔,␣,✔,✔,✘,✘,✘,✘,␣,✘,␣,✘,✘,✘,2588만원,␣,✘,✘,✘,✔,✘,✘,✘,마침.,✘,␣,✘,✘,✘,24,✘,✘,✔,✘,␣,✘,✘,✘,✘,✘,✘,✘,✘,1230만원,✘,✘,✘,␣,✘,✘,✘,✔,"56,760,000",✘,✘,"6,780,000",␣,✘,29,✘,✘,✘,✔,✘,✘,✔,5,✘,✔,✔,✘,∅,ZH4BA8U,"9,270,000",C 클래스 A8,✘,✘,✔,35,␣,␣,✘,✔
D0005,✘,✘,"1,240,000",✘,✔,269모 3148,✘,✘,✘,2,✘,✔,␣,✔,✔,✘,✔,✘,✘,␣,✘,␣,✘,✔,✔,2602만원,"13,110,000",✘,✘,✘,✘,✔,✘,✘,국제,✘,간잎 좌우로,✘,✔,✔,15,✘,✔,✔,✘,␣,✘,✘,✔,✔,✔,✘,✔,✔,␣,✘,✔,✘,69세,✘,✘,✘,✘,"31,390,000",✘,✔,"25,670,000",1153905719,✘,30,✘,✔,✔,✘,✔,✘,✔,2,✘,✔,✔,✘,∅,␣,"9,360,000",iX GV80,✘,✔,✔,10,5,␣,✔,✘
D0006,✘,✘,␣,✘,✘,682저 5850,✔,✔,✘,7,✘,✘,끄는,✘,✔,✘,✘,✔,✔,␣,✘,␣,✘,✘,✘,␣,"57,680,000",✔,✘,✔,✘,✘,✘,✔,하다,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,버리고,✘,✘,✔,✘,✔,✘,✔,✘,2000만원,✘,✘,✔,24세,✘,✘,✘,✘,"84,330,000",✔,✔,"1,980,000",␣,✔,2,✘,✘,✔,✘,✘,✘,✘,8,✘,✘,✘,✘,∅,ZBLJ098,"83,960,000",랜드크루저 RAV4,✘,✘,✘,1,3,20,✘,✔
D0007,✘,✘,"41,810,000",✘,✘,448구 5786,✘,✘,✘,␣,✔,✘,열심히,✘,✔,✘,✘,✘,✘,␣,✘,␣,✘,✘,✔,4827만원,"82,420,000",✘,✘,✘,✘,✘,✘,✔,"서천축,",✘,␣,✘,✔,✔,6,✘,✘,✘,✘,입사하여,✘,✘,✘,✘,✔,✘,✔,✘,2163만원,✘,✘,✘,␣,✘,✘,✘,✔,␣,✘,✘,␣,1105496982,✘,␣,✘,✘,✘,✔,✘,✔,✘,9,✘,✘,✘,✘,∅,ZWBIZXQ,5880000,␣,✘,✘,✘,16,␣,8,✘,✔
E0000,✘,✔,77150000,✘,✔,23노 4324,✘,✘,✘,4,✔,✔,␣,✔,✘,✘,✔,✔,✘,␣,✘,␣,✘,✘,✘,2228만원,␣,✔,✘,✘,✔,✔,✘,✔,원호,✘,␣,✔,✘,✘,␣,✔,✘,✘,✘,보고,✘,✘,✔,✘,✔,✘,✔,✘,4601만원,✘,✘,✔,19세,✘,✔,✘,✘,2620000,✘,✔,␣,9287297258,✘,19,✘,✘,✘,✘,✘,✘,✔,␣,✔,✘,✘,✘,∅,ZQ4LN58,␣,랜드크루저 도요타,✔,✔,✘,19,2,11,✘,✘
E0001,✔,✔,"4,360,000",✘,✘,267라 4987,✘,✘,✘,3,✘,✘,부록.,✔,✘,✘,✔,✘,✘,␣,✘,␣,✔,✔,✔,4823만원,␣,✘,✘,✘,✘,✘,✔,✘,옛말을,✘,말. 환술을,✘,✘,✘,33,✘,✘,✔,✘,뒷간에,✘,✘,✔,✘,✘,✘,✘,✔,1395만원,✘,✘,✔,␣,✔,✘,✘,✘,"4,250,000",✔,✘,"27,630,000",9058983817,✘,23,✔,✘,✔,✘,✔,✔,✔,4,✔,✘,✘,✘,∅,ZK0LUS0,"86,160,000",아반떼 르노,✘,✘,✘,␣,1,␣,✔,✘
E0002,✘,✘,17740000,✘,✘,648어 2055,✘,✔,✔,7,✔,✘,고발하다.,✘,✔,✘,✔,✘,✘,␣,✘,␣,✘,✔,✘,␣,␣,✘,✘,✘,✔,✘,✘,✘,␣,✘,입방03 갓을,✘,✔,✘,4,✘,✔,✘,✘,"회전,",✘,✔,✔,✘,✔,✘,✔,✘,1454만원,✔,✘,✘,␣,✔,✘,✔,✘,␣,✔,✘,"9,930,000",1914583714,✘,6,✘,✘,✔,✔,✘,✘,✘,␣,✔,✔,✘,✘,∅,␣,"9,830,000",␣,✘,✘,✘,19,␣,1,✘,✔
