image,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,090,097,062,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
C0011,✔,✘,✔,✔,✘,아닌,✘,✘,"21,340,000",✔,∅,␣,✔,24,✔,✔,✔,U8B3RW3,✘,가을과,␣,✔,4874만원,✘,"4,980,000",✘,✘,"61,520,000",✘,␣,✘,✔,✘,가입자의 통화가,✘,✘,✔,✘,26,따위의,✘,✘,✘,✔,✔,␣,✔,✘,1655908200,␣,✘,✔,✘,✘,␣,✘,✘,␣,✘,✔,✘,✘,✘,␣,15,✘,"92,940,000",␣,✘,✔,✘,34,✘,␣,✔,✘,✘,✘,␣,✘,"2,530,000",✘,␣,␣,␣,✔,✔,✔,✘,✔,✘,✘,35,␣,✘,47,✔,✘,✘
C0012,✘,✘,✔,✘,✔,흔들면서,✘,✘,"1,610,000",✔,∅,잘함.,✘,16,✔,✔,✘,UANYJF9,✘,여기에서의,18,✔,␣,✘,"36,690,000",✔,✘,␣,✘,␣,✘,✘,✘,큰,✘,✘,✘,✘,21,짧게,✘,✔,✘,✘,✘,승인을,✘,✘,1738145695,29,✘,✘,✘,✔,␣,✘,✘,34,✘,✘,✘,✔,✘,다리가,8,✘,"1,130,000",36.4,✘,✘,✘,6,✘,33,✔,✘,✔,✘,53세,✔,"26,970,000",✔,␣,52910000,81680000,✘,✘,✔,✘,✔,✘,✔,8,8880000,✘,␣,✔,✘,✘
C0013,✘,✘,✘,✘,✔,조금하여,✘,✘,"8,380,000",✔,∅,␣,✘,␣,✘,✘,✘,UCKLWLY,✘,기울어지거나,15,✘,2145만원,✘,␣,✘,✘,"39,850,000",✘,42120000,✘,✔,✘,몸에,✔,✘,✘,✘,␣,똑같이,✔,✔,✔,✔,✘,채취한 수량.,✘,✘,1372363832,24,✘,✘,✘,✘,69680000,✘,✘,␣,✘,✘,✔,✔,✘,␣,29,✘,8170000,␣,✔,✘,✘,28,✔,35,✘,✔,✔,✘,22세,✘,"1,140,000",✔,4,"19,740,000",94130000,✘,✘,✔,✔,✔,✘,✘,13,"63,280,000",✔,55,✔,✔,✘
C0014,✘,✘,✔,✘,✘,대고,✘,✘,"1,230,000",✘,∅,나는데,✔,␣,✔,✘,✘,UZ4XUSW,✘,위에서,27,✔,2247만원,✘,"73,410,000",✘,✘,28380000,✘,"23,470,000",✔,✘,✘,늙은이를 상종해서,✘,✔,✔,✔,9,기체를,✘,✔,✘,✔,✘,그 산란을,✘,✘,9854217228,␣,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,높음.,27,✔,9250000,42.2,✘,✘,✔,15,✘,5,✘,✔,✔,✔,36세,✘,"3,720,000",✘,32,"1,560,000","88,750,000",✘,✔,✘,✔,✘,✘,✔,␣,"41,950,000",✘,64,✔,✘,✘
C0015,✘,✘,✘,✘,✘,␣,✘,✘,"9,380,000",✘,∅,한,✘,22,✔,✘,✘,UPE8UNX,✔,활동의,32,✘,␣,✔,␣,✔,✘,"4,980,000",✔,␣,✘,✔,✔,그 거래,✘,✔,✘,✘,␣,␣,✘,✘,✔,✘,✔,입던 붉은빛의,✘,✘,1323306309,23,✔,✘,✘,✘,48650000,✔,✔,␣,✘,✘,✘,✔,✔,중부에,36,✘,␣,35.8,✘,✘,✔,14,✘,35,✘,✘,✘,✘,␣,✘,"4,350,000",✘,␣,"5,710,000",␣,✘,✘,✘,✘,✔,✘,✘,␣,␣,✘,␣,✘,✘,✘
C0016,✘,✘,✘,✘,✘,화살.,✔,✔,"6,740,000",✔,∅,␣,✘,␣,✘,✘,✔,UDJBHW9,✘,␣,2,✘,␣,✔,␣,✘,✘,"94,660,000",✘,"3,960,000",✘,✔,✘,맞넉수,✘,✘,✘,✘,22,유방의,✔,✔,✔,✘,✘,부분이,✔,✘,1874689183,␣,✘,✔,✘,✔,␣,✘,✘,13,✘,✔,✔,✔,✘,␣,32,✘,"27,350,000",8.8,✔,✘,✔,3,✔,35,✘,✔,✘,✘,80세,✔,"75,860,000",✘,␣,␣,␣,✘,✔,✘,✔,✔,✘,✘,␣,␣,✘,61,✘,✘,✘
C0017,✘,✘,✘,✘,✔,된,✘,✘,"16,220,000",✔,∅,조서나,✔,␣,✘,✔,✘,U060W5C,✘,잡음.,9,✘,3432만원,✘,"2,630,000",✘,✘,52920000,✔,␣,✔,✘,✘,추어,✘,✘,✘,✘,1,물리학자,✘,✘,✘,✔,✘,떠올라 있었다.,✘,✘,9613297525,7,✘,✘,✔,✘,"26,880,000",✔,✘,26,✘,✘,✔,✘,✘,넙다리의,␣,✘,"97,260,000",␣,✘,✘,✔,15,✘,20,✘,✘,✔,✘,18세,✘,"37,230,000",✘,36,"65,760,000","61,940,000",✘,✘,✘,✘,✔,✔,✔,␣,25960000,✔,36,✘,✘,✔
C0018,✘,✔,✘,✘,✔,이르는,✔,✔,␣,✔,∅,자신의,✘,36,✘,✘,✘,UA7A9Q4,✔,␣,17,✔,3432만원,✘,"8,140,000",✘,✔,"93,690,000",✔,"81,420,000",✔,✔,✘,추어,✔,✔,✔,✘,32,크다.,✘,✔,✘,✔,✘,떠올라 있었다.,✔,✘,9614887631,30,✘,✘,✘,✘,␣,✔,✔,␣,✘,✘,✘,✘,✘,연구하는 철학.,1,✘,␣,47.1,✘,✘,✔,11,✘,␣,✘,✘,✘,✘,60세,✘,"27,820,000",✔,19,"96,160,000","23,950,000",✘,✘,✘,✘,✘,✘,✔,14,"7,380,000",✘,36,✘,✘,✔
D0000,✔,✘,✘,✘,✘,때문이었다.,✔,✘,␣,✔,∅,␣,✘,␣,✘,✔,✘,␣,✘,␣,29,✘,␣,✔,"7,990,000",✘,✔,"96,510,000",✘,"65,760,000",✔,✘,✘,의의 및,✘,✘,✔,✔,30,이르는,✔,✘,✘,✘,✔,␣,✔,✘,␣,␣,✔,✘,✘,✘,␣,✘,✘,33,✔,✘,✔,✘,✔,저으며,8,✘,"4,760,000",␣,✘,✔,✘,23,✔,15,✘,✘,✘,✘,␣,✔,"13,860,000",✘,␣,"22,750,000",1270000,✔,✘,✘,✔,✔,✘,✘,18,"99,180,000",✘,23,✘,✘,✘
D0001,✘,✘,✘,✘,✘,입복하여,✘,✘,"1,760,000",✘,∅,␣,✘,␣,✘,✘,✘,PCRVO48,✘,"21,410,000",␣,✘,3176만원,✘,"16,450,000",✘,✔,"8,310,000",✘,"11,780,000",✘,✔,✘,음을 으뜸음으로,✔,✘,✔,✔,29,본디의,✔,✔,✔,✘,✘,␣,✘,✔,9496686503,␣,✘,✘,✔,✔,"5,180,000",✔,✔,9,✔,✔,✔,✔,✘,␣,8,✘,13610000,␣,✘,✘,✘,2,✘,21,✘,✔,✘,✘,55세,✘,"8,620,000",✘,35,76190000,"2,170,000",✘,✘,✘,✘,✘,✘,✘,22,␣,✔,48,✘,✘,✔
D0002,✘,✘,✘,✘,✘,␣,✔,✔,"93,290,000",✘,∅,␣,✘,11,✘,✘,✘,PNQFCHP,✔,"65,780,000",23,✘,4884만원,✘,␣,✘,✘,␣,✘,"3,630,000",✔,✘,✘,␣,✘,✘,✘,✘,␣,않을,✘,✔,✘,✔,✔,흠모하는 광경을,✘,✘,9439963059,36,✔,✘,✘,✘,␣,✘,✔,21,✔,✘,✘,✔,✘,푸른,16,✘,"1,490,000",77.9,✘,✔,✔,7,✘,31,✔,✔,✘,✘,32세,✔,␣,✘,23,␣,"22,180,000",✘,✘,✘,✔,✘,✔,✘,␣,"99,750,000",✔,50,✘,✔,✔
D0003,✘,✘,✔,✘,✔,음력,✔,✘,␣,✘,∅,있도록,✔,␣,✘,✘,✔,PC1885A,✘,46770000,␣,✘,4179만원,✔,␣,✘,✘,"6,310,000",✔,"1,790,000",✘,✘,✘,바깥쪽이나,✘,✔,✘,✘,3,통하여,✘,✔,✘,✘,✘,␣,✘,✘,1202301978,14,✔,✘,✘,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,␣,␣,✔,"4,740,000",0.2,✘,✔,✘,31,✘,21,✘,✔,✘,✔,69세,✔,"17,420,000",✔,19,␣,"3,860,000",✔,✘,✔,✘,✔,✔,✔,17,␣,✘,76,✘,✘,✘
D0004,✘,✘,✘,✘,✔,생기는,✔,✔,"43,330,000",✘,∅,선어하여,✘,23,✔,✘,✘,PUSHP79,✔,"1,890,000",10,✘,␣,✔,16240000,✘,✘,␣,✔,"6,540,000",✘,✘,✔,␣,✘,✘,✘,✔,22,콩윷,✔,✘,✘,✔,✘,1928년에,✘,✔,1214015341,␣,✘,✘,✔,✔,"16,550,000",✘,✔,9,✘,✔,✘,✘,✘,송나라,␣,✔,"85,440,000",70.2,✔,✔,✘,1,✘,10,✔,✘,✘,✘,58세,✘,␣,✘,␣,␣,␣,✘,✘,✔,✘,✔,✔,✘,22,"24,520,000",✘,␣,✘,✘,✘
D0005,✘,✔,✘,✔,✘,수취하다03,✘,✘,␣,✘,∅,비단,✘,32,✘,✘,✔,PRBRKRF,✔,␣,␣,✘,2601만원,✘,␣,✔,✔,␣,✘,␣,✘,✔,✔,없는,✔,✘,✘,✘,17,PbO.,✘,✘,✘,✘,✔,␣,✘,✔,9327579370,22,✔,✔,✘,✘,"44,780,000",✘,✘,33,✘,✔,✔,✔,✔,␣,14,✘,␣,54.3,✘,✔,✘,␣,✔,5,✘,✘,✘,✘,29세,✘,"9,240,000",✘,26,␣,"67,960,000",✘,✘,✘,✘,✔,✔,✔,␣,"71,230,000",✘,45,✔,✘,✘
D0006,✘,✘,✘,✘,✘,진술함.,✔,✘,␣,✔,∅,자기,✔,␣,✘,✘,✘,PGG5IQY,✘,␣,17,✘,4861만원,✘,␣,✔,✘,␣,✘,␣,✘,✔,✘,␣,✔,✔,✘,✔,29,혈을,✘,✘,✘,✘,✔,아침. 오늘,✔,✘,1964649205,33,✔,✘,✘,✔,"4,990,000",✘,✔,25,✘,✘,✔,✔,✔,쓰고 하겠지요.,␣,✘,␣,95.6,✘,✘,✔,␣,✘,34,✔,✘,✘,✘,␣,✘,␣,✔,␣,"52,140,000","97,120,000",✘,✘,✘,✘,✘,✘,✘,19,"63,930,000",✘,22,✘,✔,✔
D0007,✘,✔,✘,✘,✘,나아가다.,✔,✔,58530000,✘,∅,␣,✘,␣,✘,✘,✘,PT86WL5,✘,"56,960,000",17,✔,2198만원,✔,51530000,✘,✘,"54,810,000",✘,"2,370,000",✘,✘,✘,전염병.,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,흰색의,✘,✔,1215240846,␣,✘,✔,✘,✔,"39,420,000",✔,✘,5,✔,✔,✘,✘,✔,자국이,␣,✔,8580000,␣,✔,✘,✔,4,✘,2,✘,✘,✘,✘,␣,✘,"85,220,000",✔,29,␣,"3,750,000",✘,✔,✘,✘,✘,✔,✔,30,␣,✘,41,✘,✘,✔
D0008,✘,✘,✘,✘,✘,때에,✔,✘,"3,530,000",✔,∅,나이를,✔,20,✔,✔,✘,PBW3MP6,✔,"79,230,000",␣,✘,␣,✘,9980000,✘,✔,␣,✘,␣,✔,✘,✔,␣,✔,✔,✘,✘,19,기관이,✘,✔,✔,✘,✔,␣,✘,✘,1757884081,␣,✔,✘,✘,✘,␣,✘,✘,24,✔,✘,✘,✔,✘,다른,␣,✔,9310000,44.1,✔,✘,✘,␣,✔,25,✔,✘,✘,✘,43세,✔,56790000,✔,␣,4750000,␣,✘,✘,✘,✘,✘,✘,✘,28,␣,✘,76,✘,✔,✘
D0009,✘,✘,✘,✔,✘,눈이,✘,✘,"15,830,000",✔,∅,한꺼번에,✘,9,✘,✘,✘,PVNX2B0,✔,"99,710,000",␣,✘,3043만원,✔,1440000,✘,✘,"3,820,000",✘,␣,✔,✘,✔,␣,✔,✘,✘,✘,␣,전에,✘,✘,✘,✘,✘,␣,✘,✘,9308900703,␣,✘,✘,✔,✘,24490000,✘,✔,27,✔,✘,✘,✘,✘,다 자란,4,✘,␣,59.8,✔,✔,✘,27,✘,␣,✘,✘,✘,✘,80세,✘,3490000,✔,11,"5,850,000",9290000,✘,✘,✘,✘,✘,✘,✘,1,69540000,✔,79,✔,✘,✘
D0010,✘,✔,✘,✔,✘,␣,✘,✘,"26,350,000",✘,∅,교섭하는,✔,1,✘,✘,✘,P8J7G0R,✘,21890000,␣,✔,1991만원,✘,␣,✘,✔,"58,550,000",✔,"1,350,000",✔,✔,✔,일에 참여함.,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,때문에,✘,✘,␣,15,✔,✘,✘,✘,"13,550,000",✘,✘,27,✔,✘,✘,✘,✘,갈물.,35,✘,"6,230,000",␣,✔,✘,✘,3,✘,23,✘,✔,✘,✘,40세,✔,53560000,✘,25,"9,470,000","77,960,000",✔,✘,✘,✔,✘,✘,✔,␣,␣,✔,60,✔,✘,✘
D0011,✘,✔,✘,✘,✘,질질대다02,✘,✘,"37,450,000",✔,∅,전기,✘,␣,✔,✘,✘,PG9LMC8,✘,␣,31,✔,␣,✘,"82,620,000",✔,✔,"8,110,000",✔,"7,870,000",✘,✔,✘,␣,✘,✘,✘,✘,25,␣,✘,✘,✘,✔,✘,␣,✔,✔,␣,32,✘,✘,✘,✔,"53,380,000",✘,✘,35,✘,✔,✔,✘,✘,␣,24,✔,␣,90.2,✘,✘,✘,␣,✘,9,✔,✘,✘,✘,61세,✘,"13,970,000",✘,22,"27,630,000","57,480,000",✘,✔,✘,✘,✘,✘,✘,␣,␣,✔,25,✘,✘,✔
E0000,✘,✘,✘,✘,✘,성수는,✔,✘,␣,✔,∅,장타를,✘,31,✘,✘,✔,␣,✘,␣,35,✘,␣,✔,␣,✘,✘,"9,270,000",✘,"6,960,000",✘,✘,✘,␣,✘,✘,✘,✘,␣,컴퓨터를,✘,✔,✘,✔,✔,적은,✘,✔,␣,21,✘,✘,✔,✔,71880000,✘,✔,14,✘,✘,✔,✘,✔,가득 채워서,23,✔,␣,93.0,✘,✔,✘,␣,✔,36,✘,✘,✘,✔,26세,✘,"16,880,000",✘,13,␣,␣,✘,✔,✘,✘,✘,✘,✘,␣,"92,290,000",✘,18,✔,✔,✔
E0001,✘,✔,✔,✔,✘,␣,✘,✘,"66,620,000",✘,∅,따짐,✘,22,✘,✘,✘,TYJZZS9,✘,"33,840,000",␣,✘,1736만원,✔,"33,360,000",✘,✘,"86,520,000",✘,"5,260,000",✘,✘,✘,␣,✘,✘,✔,✔,25,발레를,✔,✔,✔,✔,✔,계책이나 포부.,✘,✘,1817448349,3,✔,✘,✔,✘,␣,✘,✘,␣,✘,✘,✘,✘,✔,없겠지만,31,✘,"9,750,000",19.9,✘,✘,✘,31,✘,33,✔,✔,✘,✘,40세,✔,"2,440,000",✔,5,␣,"1,960,000",✘,✘,✔,✘,✘,✔,✔,␣,3310000,✘,69,✘,✔,✘
E0002,✘,✘,✘,✘,✔,섰다.,✘,✘,␣,✘,∅,␣,✘,9,✔,✔,✘,T95ZIRK,✘,"76,490,000",8,✘,3601만원,✘,␣,✘,✘,"88,250,000",✘,"2,520,000",✘,✔,✔,젊은이가,✘,✔,✘,✘,22,␣,✘,✔,✔,✔,✔,뛰어난 사람을,✘,✘,␣,27,✔,✘,✘,✔,"66,690,000",✔,✔,10,✔,✘,✘,✘,✘,것은 더할,␣,✘,"38,470,000",73.3,✘,✘,✔,31,✔,27,✘,✘,✔,✘,31세,✘,"23,140,000",✘,␣,78430000,"76,690,000",✘,✘,✔,✔,✔,✘,✘,26,"8,740,000",✘,64,✘,✔,✔
F0000,✔,✘,✘,✔,✔,␣,✘,✘,"75,940,000",✘,∅,대강대강,✘,25,✘,✘,✔,TGBNYVA,✘,95380000,␣,✘,␣,✘,␣,✔,✘,"6,890,000",✘,␣,✘,✘,✘,␣,✘,✘,✔,✘,18,고르게,✘,✔,✘,✔,✔,책. 중국,✘,✘,␣,11,✘,✘,✔,✘,"2,920,000",✔,✘,27,✘,✘,✘,✔,✘,␣,22,✘,66710000,␣,✘,✘,✔,␣,✔,31,✔,✘,✘,✘,79세,✔,26230000,✘,4,"74,680,000",␣,✘,✔,✔,✘,✘,✘,✘,14,71270000,✘,34,✘,✘,✘
